moisture_content,pesticide_residue,aflatoxin_b1,microbial_load,heavy_metals,storage_duration,temperature,packaging_integrity,compliant
11.49,0.053,3.65,13893,0.008,18,32.9,Good,0
12.3,0.071,0.95,11292,0.018,49,22.7,Good,0
6.96,0.014,1.83,17513,0.03,71,25.3,Good,1
5.73,0.037,0.75,10194,0.058,42,23.5,Good,1
12.47,0.015,2.94,5233,0.04,20,28.7,Good,1
10.51,0.002,1.57,3171,0.088,35,21.4,Good,1
10.97,0.003,17.34,11919,0.074,21,30.2,Fair,1
12.79,0.018,0.49,17650,0.02,10,29.9,Good,1
12.44,0.087,2.56,25849,0.006,65,26.8,Fair,0
14.61,0.03,2.23,15696,0.019,48,23.5,Poor,0
14.43,0.01,0.32,10853,0.017,18,29.6,Fair,1
10.99,0.089,3.1,9383,0.013,41,23.4,Fair,0
10.02,0.022,1.0,13123,0.006,33,24.2,Good,1
11.21,0.018,14.27,500,0.017,8,24.9,Fair,1
9.42,0.006,2.69,17412,0.212,25,30.7,Good,1
12.26,0.018,4.0,19694,0.005,76,36.0,Good,1
10.3,0.045,0.07,10972,0.036,24,19.7,Fair,1
11.42,0.11,0.59,8733,0.129,79,23.4,Good,0
10.68,0.03,1.11,25457,0.005,81,26.3,Good,1
12.35,0.052,9.1,17003,0.051,12,26.7,Good,0
10.88,0.0,0.7,9285,0.04,63,19.0,Fair,1
11.97,0.016,5.49,22707,0.054,53,27.1,Good,1
7.33,0.144,2.0,8473,0.111,58,25.1,Good,0
14.36,0.009,5.13,6432,0.141,86,27.4,Poor,0
11.42,0.133,7.67,14417,0.017,37,22.8,Good,0
12.57,0.11,4.76,7929,0.048,89,25.8,Good,0
11.07,0.048,4.85,19486,0.022,29,27.6,Fair,1
11.54,0.029,2.78,19567,0.061,72,30.7,Fair,1
7.68,0.035,0.15,13105,0.031,51,28.4,Good,1
5.16,0.069,1.79,15514,0.073,23,19.6,Fair,1
10.14,0.031,4.06,9787,0.065,87,14.9,Fair,1
10.56,0.023,0.33,19039,0.026,19,29.3,Good,1
15.3,0.043,1.31,18239,0.155,67,35.6,Good,0
13.1,0.018,5.67,18550,0.032,13,28.9,Good,0
9.24,0.02,3.83,5017,0.05,8,32.2,Good,1
5.69,0.043,0.71,16592,0.001,54,22.0,Poor,1
14.76,0.025,3.16,5097,0.142,37,26.4,Good,0
8.13,0.075,0.09,10285,0.006,64,29.2,Fair,0
12.44,0.013,0.78,20037,0.069,73,24.9,Good,1
10.35,0.017,10.68,13258,0.069,69,30.5,Good,0
13.92,0.015,9.04,15168,0.025,5,26.6,Poor,0
9.61,0.04,2.38,6951,0.056,68,18.9,Fair,1
9.96,0.002,3.19,7821,0.029,80,20.9,Good,1
9.04,0.039,0.43,16959,0.004,74,22.5,Fair,1
5.66,0.067,11.77,3740,0.213,69,21.4,Fair,0
9.36,0.022,9.47,14847,0.001,44,20.0,Good,1
10.97,0.055,3.5,8382,0.164,36,28.5,Good,0
8.8,0.0,14.01,16792,0.004,52,25.1,Poor,0
14.35,0.024,3.95,22674,0.044,81,35.9,Good,1
7.58,0.025,1.74,8926,0.183,88,25.8,Fair,1
12.85,0.046,0.71,10384,0.121,74,18.4,Poor,0
15.49,0.002,0.11,24435,0.218,17,22.7,Good,0
9.66,0.021,1.28,24902,0.003,78,25.0,Fair,1
10.14,0.076,1.14,6459,0.154,56,24.3,Good,0
5.4,0.005,4.45,25221,0.037,70,30.9,Good,1
10.2,0.084,2.07,20163,0.061,23,31.8,Good,1
13.18,0.02,2.3,930,0.117,34,32.5,Good,0
10.22,0.079,11.94,1372,0.031,88,24.7,Good,0
6.09,0.003,0.55,20357,0.007,17,26.8,Good,1
7.18,0.091,2.57,7114,0.011,8,27.5,Good,1
9.68,0.009,1.81,6718,0.035,63,21.5,Fair,1
10.64,0.003,1.3,19913,0.01,22,28.8,Good,1
5.45,0.025,5.5,25934,0.002,26,27.9,Good,0
10.93,0.005,2.37,2148,0.016,37,26.0,Good,1
8.06,0.005,8.85,6347,0.045,62,25.0,Good,1
14.44,0.035,5.47,6702,0.017,35,24.0,Fair,0
5.8,0.004,0.66,19503,0.014,18,22.0,Good,1
7.41,0.003,2.97,17163,0.006,38,24.7,Poor,0
8.27,0.007,4.42,21043,0.133,52,16.7,Fair,1
11.63,0.016,2.22,1979,0.006,56,25.2,Good,1
9.8,0.03,0.21,5311,0.021,16,30.0,Good,1
8.27,0.057,3.62,500,0.021,84,21.0,Fair,0
11.11,0.111,0.8,10168,0.003,67,30.8,Good,1
10.76,0.009,0.71,18155,0.055,49,22.9,Good,1
13.6,0.023,1.89,11735,0.031,30,25.1,Good,0
15.03,0.019,3.14,16884,0.006,84,28.9,Fair,1
11.02,0.039,3.05,11677,0.112,72,22.7,Good,1
7.45,0.001,3.37,18831,0.021,74,26.7,Good,1
9.19,0.064,0.65,7169,0.013,66,29.3,Fair,1
14.07,0.012,1.7,770,0.031,85,32.5,Good,1
17.34,0.001,8.23,16033,0.134,53,27.4,Fair,0
10.67,0.034,3.73,27745,0.136,83,22.4,Good,0
10.17,0.036,2.04,23753,0.003,33,19.9,Good,1
5.04,0.017,1.7,12313,0.013,43,33.3,Good,1
5.0,0.099,1.8,14565,0.043,58,23.7,Good,0
6.68,0.028,3.62,15111,0.012,81,24.9,Good,1
9.9,0.033,0.27,10652,0.075,43,11.7,Good,1
13.27,0.007,0.8,3739,0.052,39,21.1,Good,1
12.81,0.001,1.0,25172,0.013,62,22.4,Fair,0
11.47,0.004,1.11,20687,0.089,38,27.2,Fair,1
11.78,0.001,0.36,12523,0.012,7,26.6,Good,1
6.25,0.068,1.67,9365,0.045,27,18.0,Fair,1
5.0,0.014,11.86,28571,0.072,16,24.8,Fair,0
13.31,0.022,0.09,17462,0.05,26,16.4,Good,1
10.06,0.008,1.27,17780,0.001,82,26.0,Good,1
7.06,0.042,7.08,17048,0.046,61,29.9,Good,0
5.0,0.029,0.19,4763,0.009,67,25.9,Good,1
7.73,0.014,1.76,7193,0.042,45,30.3,Fair,1
7.42,0.001,1.22,20602,0.045,9,37.8,Good,1
9.71,0.005,0.31,14720,0.058,41,33.9,Good,1
11.9,0.013,3.57,22780,0.022,12,24.6,Good,1
11.86,0.083,5.27,19478,0.059,77,30.4,Good,0
11.29,0.008,3.36,16661,0.124,7,19.6,Poor,0
13.16,0.115,2.57,15226,0.019,75,25.1,Good,0
8.7,0.003,4.77,12526,0.021,66,24.1,Good,1
8.68,0.015,3.93,17136,0.013,7,29.4,Fair,1
10.25,0.112,6.41,23523,0.309,34,22.4,Good,0
14.23,0.083,16.56,11435,0.027,67,32.3,Good,0
5.97,0.014,1.06,7650,0.002,6,24.8,Good,1
